,areaid,OKATO
0,17,45286575
1,18,45286580
2,19,45286585
3,12,45286552
4,14,45286560
5,22,45263552
6,25,45263564
7,13,45286555
8,27,45263570
9,28,45263573
10,29,45263581
11,31,45263576
12,30,45263579
13,32,45263583
14,34,45263594
15,35,45263585
16,36,45263588
17,23,45263555
18,24,45263558
19,33,45263561
20,37,45263567
21,26,45263591
22,38,45268554
23,48,45268595
24,49,45268597
25,39,45268560
26,40,45268562
27,41,45268569
28,42,45268577
29,50,45268579
30,44,45268581
31,45,45268584
32,46,45268588
33,47,45268592
34,43,45268552
35,51,45272580
36,52,
37,53,
38,54,45277553
39,55,45277556
40,56,45277559
41,60,45277574
42,59,45277571
43,69,45277598
44,68,45277595
45,62,45277580
46,63,45277583
47,64,45277584
48,65,45277586
49,66,45277589
50,67,45277592
51,57,45277565
52,58,45277568
53,61,45277577
54,70,45280552
55,71,45280554
56,72,45280556
57,73,45280558
58,74,45280561
59,86,45280597
60,20,45286590
61,85,45280594
62,75,45280563
63,76,45280565
64,77,45280567
65,78,45280569
66,79,45280572
67,80,45280574
68,81,45280577
69,83,45280583
70,84,45280585
71,82,45280580
72,92,45283582
73,87,45283555
74,88,45283559
75,89,45283569
76,90,45283573
77,93,45283587
78,91,45283577
79,94,45283593
80,95,45296553
81,96,45296555
82,97,45296557
83,107,45296590
84,109,45296595
85,108,45296593
86,110,45296597
87,98,45296559
88,99,45296561
89,101,45296569
90,102,45296571
91,103,45296573
92,104,45296575
93,106,45296579
94,105,45296577
95,100,45296565
96,122,45290594
97,112,45290558
98,113,45290562
99,114,45290564
100,115,45290568
101,116,45290572
102,119,45290574
103,117,45290578
104,118,45290582
105,120,45290586
106,121,45290590
107,111,45290554
108,123,45293554
109,132,45293590
110,124,45293558
111,134,45293598
112,21,45286596
113,126,45293566
114,127,45293570
115,128,45293574
116,129,45293578
117,130,45293582
118,131,45293586
119,125,45293562
120,133,45293594
121,15,45286565
122,16,45286570
